Name,FX 63-137 13.7% smoothed
Chord(mm),242
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
242.000000,0.000000
240.964240,0.547162
237.876320,1.989724
232.789480,3.973882
225.788420,6.246988
216.996560,8.749026
206.559100,11.511456
194.659960,14.521452
181.500000,17.677374
167.304280,20.802078
152.317220,23.686718
136.792920,26.133580
121.000000,27.981008
105.207080,29.115988
89.682780,29.474874
82.105760,29.355326
74.695720,29.035886
67.484120,28.519458
60.500000,27.810398
53.774820,26.916208
47.340040,25.845842
41.219860,24.607770
35.440900,23.210704
30.027360,21.670374
25.003440,20.013400
20.393340,18.275356
16.211580,16.484072
12.477520,14.645840
9.210520,12.737912
6.420260,10.721084
4.123680,8.587128
2.325620,6.379604
1.035760,4.215882
0.258940,2.242130
0.000000,0.583462
0.258940,-0.715836
1.035760,-1.699082
2.325620,-2.457752
4.123680,-3.085742
6.420260,-3.638228
9.210520,-4.129488
12.477520,-4.547422
16.211580,-4.883076
20.393340,-5.137660
25.003440,-5.320854
30.027360,-5.440644
35.440900,-5.497756
41.219860,-5.485656
47.340040,-5.395874
53.774820,-5.219214
60.500000,-4.944302
67.484120,-4.558796
74.695720,-4.053984
82.105760,-3.431318
89.682780,-2.704592
105.207080,-1.018820
121.000000,0.824978
136.792920,2.642398
152.317220,4.260410
167.304280,5.534782
181.500000,6.362422
194.659960,6.674844
206.559100,6.439136
216.996560,5.669818
225.788420,4.454736
232.789480,2.973212
237.876320,1.507660
240.964240,0.410432
242.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.583462
0.258940,0.763147
1.035760,1.258400
2.325620,1.960926
4.123680,2.750693
6.420260,3.541428
9.210520,4.304212
12.477520,5.049209
16.211580,5.800498
20.393340,6.568848
25.003440,7.346273
30.027360,8.114865
35.440900,8.856474
41.219860,9.561057
47.340040,10.224984
53.774820,10.848497
60.500000,11.433048
67.484120,11.980331
74.695720,12.490951
82.105760,12.962004
89.682780,13.385141
105.207080,14.048584
121.000000,14.402993
136.792920,14.387989
152.317220,13.973564
167.304280,13.168430
181.500000,12.019898
194.659960,10.598148
206.559100,8.975296
216.996560,7.209422
225.788420,5.350862
232.789480,3.473547
237.876320,1.748692
240.964240,0.478797
242.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
242.000000,0.000000
